"case_id","county"
1712436,"Salt Lake "
1712437,"Salt Lake "
1712491,"Suffolk "
1712529,"Union "
1712551,NA
1712554,"Tarrant "
1712621,"Baltimore "
1712655,"Hamilton "
1712767,"Ontario "
1712772,"Weber "
1712782,"Fresno "
1713049,"Middlesex "
1712795,"Miami-Dade "
1712802,"Orange "
1712829,"Barnwell "
1712857,"Thurston "
1712864,"Harris "
1712866,"Wayne "
1712869,"Oakland "
1712871,"Oakland "
1712872,"Oakland "
1712946,"Marion "
1713017,"Broward "
1713036,"Kern "
1713046,"Sangamon "
1713083,"San Francisco "
1713126,"Spencer "
1713151,"Miami-Dade "
1713158,"Mecklenburg "
1713206,"Fayette "
1713217,"Dane "
1713233,"Middlesex "
1713244,"Jackson "
1713263,"Lafayette "
1713269,"Kent "
1713276,NA
1713302,"Tulsa "
1713314,"Geary "
1713431,"Cook "
1713447,"Johnson "
1713504,"Johnson "
1713509,"Kent "
1713558,"Miami-Dade "
1713563,"Fulton "
1713586,"Hennepin "
1713601,"Harris "
1713663,"Kootenai "
1713680,"Alameda "
1713746,"Bowie "
1713874,NA
1713898,"Caledonia "
1713899,"Erie "
1713962,"Cook "
1714029,"Gibson "
1714031,"Gratiot "
1511737,"Los Angeles "
1714079,"Oakland "
1714170,NA
1714173,"Denton "
1714218,"Bergen "
1714271,"Brown "
1714359,"Middlesex "
1714365,"San Joaquin "
1714395,"Collin "
1714440,"Weld "
1714469,"Kalamazoo "
1714493,"Will "
1714557,"Summit "
1714633,"Warren "
1714706,"Bowie "
1714845,"Lake "
1714862,"Titus "
1714887,"Webb "
1714960,"Wake "
1714965,"Mobile "
1714991,"Alamance "
1715013,"Nassau "
1715039,"Wayne "
1715056,"San Bernardino "
1715073,"Lake "
1715074,"Cook "
1715075,"Lake "
1715108,"Sedgwick "
1715143,"Ottawa "
1715170,"Dupage "
1715217,"Harris "
1715240,"Grand Traverse "
1715288,"Lafayette "
1715313,NA
1715365,"Montgomery "
1715443,"Washington "
1715449,"Travis "
1715455,"Travis "
1715461,"Burnet "
1715463,"Travis "
1715464,"Travis "
1715470,"Williamson "
1715471,"Travis "
1715472,"Travis "
1715479,"Travis "
1715481,"Llano "
1715482,"Travis "
1715497,"Denver "
1715526,"Scott "
1715528,"Harris "
1715530,"Robertson "
1715556,"Allegheny "
1715810,"Travis "
1715577,"Cook "
1715629,"Thurston "
1715630,"King "
1715641,"St Louis "
1715698,"Palm Beach "
1715708,"Marion "
1715729,"Durham "
1715750,"Jackson "
1715773,"Fairfax "
1715799,"Pima "
1715804,"Hays "
1715809,"Travis "
1715811,"Travis "
1715814,"Travis "
1715824,"Bucks "
1715829,"Hays "
1715834,"Wayne "
1715846,"Travis "
1715851,"Bastrop "
1715853,"Travis "
1715862,"Travis "
1715864,"Travis "
1715888,"Isabella "
1715907,"Wake "
1715935,"Duchesne "
1715962,NA
1715996,"Bell "
1716024,"Dallas "
1716054,"Pinal "
1716076,"Bowie "
1716081,"Cook "
1716085,"Cass "
1716112,"Hawaii "
1716114,"Honolulu "
1716137,"El Paso "
1716174,NA
1716196,NA
1716219,"Sevier "
1716298,NA
1716322,"Harris "
1716333,"El Paso "
1716363,"Maricopa "
1716367,"Maricopa "
1716424,"Windham "
1716452,"Tom Green "
1716498,"Montrose "
1716553,NA
1716560,"Kings "
1716602,"Macomb "
1716643,"Suffolk "
1716654,"Milwaukee "
1716687,"Bergen "
1716701,"Collin "
1716733,"Tarrant "
1716765,"Geary "
1537491,"New York "
1716766,"Erie "
1716782,"Dallas "
1716795,"Dane "
1716800,"Washoe "
1716827,"Union "
1716849,"Antrim "
1716889,"Placer "
1716892,"Placer "
1716907,"Los Angeles "
1716928,"Bourbon "
1716929,"Jackson "
1716949,"Middlesex "
1716974,"Riverside "
1716983,"San Francisco "
1716984,"San Francisco "
1717017,"Cuyahoga "
1717025,"Miami-Dade "
1717031,"San Diego "
1717063,"Calhoun "
1717088,"Harris "
1717125,"Sacramento "
1717141,"Marion "
1717214,"Adams "
1717224,"San Jacinto "
1717236,"Rockingham "
1717250,"Swain "
1717254,"Bexar "
1717256,"Howard "
1717260,"Cook "
1717266,"Bell "
1717267,"Bell "
1717327,"Wake "
1717373,"Gunnison "
1717412,"Miami-Dade "
1717421,"Cook "
1717492,"Muskegon "
1717540,"Bexar "
1717580,"Palm Beach "
1717605,NA
1717623,"Galveston "
1717628,NA
1717638,"Dupage "
1717652,"Bay "
1717653,"Maricopa "
1717657,"Los Angeles "
1717682,"Minnehaha "
1717686,"Denver "
1717689,"Bulloch "
1717695,"Cook "
1717741,"Orange "
1717777,"Hidalgo "
1717804,"Macomb "
1717815,"Dupage "
1717821,"San Diego "
1717854,"Gwinnett "
1717884,"San Bernardino "
1717911,"Mobile "
1717919,"Cumberland "
1717923,"Tulare "
1717944,"Union "
1717973,"Harris "
1718014,NA
1718049,"Webb "
1718053,"Hall "
1718099,"Randolph "
1718123,"Lawrence "
1718183,"Dallas "
1718185,"Los Angeles "
1718239,"Dallas "
1718244,"Bernalillo "
1718269,"Montgomery "
1718274,"Butler "
1718277,"Warren "
1718279,"Collier "
1718310,"Walton "
1718378,"Providence "
1718382,"Shoshone "
1718392,"Clark "
1718423,"York "
1718425,"Fairfield "
1718429,"Providence "
1718447,NA
1718472,"Maui "
1718484,"Ada "
1718498,"Orange "
1718560,"Hendry "
1718586,"Salt Lake "
1718592,"Travis "
1718604,"Dallas "
1718608,"Miami-Dade "
1718619,"Franklin "
1718621,"Dallas "
1718626,"Alameda "
1718636,"Durham "
1718657,"Los Angeles "
1718663,"Collier "
1718679,"San Joaquin "
1718689,"Doña Ana "
1718694,"Fresno "
1718705,"St Francis "
1718751,"Cook "
1718768,"Greene "
1718797,"Delaware "
1718816,"Mecklenburg "
1718835,"San Diego "
1718836,"San Diego "
1718837,"San Diego "
1718848,"Cook "
1718867,"Alameda "
1718874,"Los Angeles "
1718876,"Los Angeles "
1718888,"Marion "
1718890,"Dallas "
1718893,"Gregg "
1718897,"Smith "
1718901,"Polk "
1718907,"Chambers "
1718918,"Nacogdoches "
1718922,"Dallas "
1718948,"Lubbock "
1718973,"Warren "
1718997,"Grant "
1719016,"Kings "
1719017,"Cook "
1719039,"Douglas "
1719041,"Highlands "
1719052,"Wayne "
1719055,"Rowan "
1719098,"Webb "
1719142,"Reno "
1719163,"Kings "
