State,State Name,County,NAICS3,Employees,Avg Weekly Pay,Establishments,WHD Office Name,Industry
CA,California,Santa Clara County,211,0,0,2,San Francisco,Oil and Gas Extraction
CA,California,Solano County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Sutter County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Tulare County,211,0,0,1,Sacramento,Oil and Gas Extraction
CA,California,Ventura County,211,431,2223,22,Los Angeles,Oil and Gas Extraction
CA,California,Alameda County,212,126,1829,8,San Francisco,Mining (except Oil and Gas)
CA,California,Amador County,212,0,0,4,Sacramento,Mining (except Oil and Gas)
CA,California,Butte County,212,66,944,6,Sacramento,Mining (except Oil and Gas)
CA,California,Calaveras County,212,13,1219,3,Sacramento,Mining (except Oil and Gas)
CA,California,Contra Costa County,212,52,1747,3,San Francisco,Mining (except Oil and Gas)
CA,California,El Dorado County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Fresno County,212,111,1185,6,Sacramento,Mining (except Oil and Gas)
CA,California,Glenn County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Imperial County,212,0,0,4,San Diego,Mining (except Oil and Gas)
CA,California,Inyo County,212,212,1365,5,Sacramento,Mining (except Oil and Gas)
CA,California,Kern County,212,0,0,11,Sacramento,Mining (except Oil and Gas)
CA,California,Lake County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Lassen County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Los Angeles County,212,335,1552,22,Los Angeles,Mining (except Oil and Gas)
CA,California,Madera County,212,0,0,2,Sacramento,Mining (except Oil and Gas)
CA,California,Marin County,212,0,0,1,San Francisco,Mining (except Oil and Gas)
CA,California,Mariposa County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Mendocino County,212,0,0,3,San Francisco,Mining (except Oil and Gas)
CA,California,Merced County,212,37,1179,3,Sacramento,Mining (except Oil and Gas)
CA,California,Mono County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Monterey County,212,213,1292,7,San Francisco,Mining (except Oil and Gas)
CA,California,Nevada County,212,29,1347,8,Sacramento,Mining (except Oil and Gas)
CA,California,Orange County,212,68,1178,6,San Diego,Mining (except Oil and Gas)
CA,California,Placer County,212,0,0,1,Sacramento,Mining (except Oil and Gas)
CA,California,Riverside County,212,271,1273,21,West Covina,Mining (except Oil and Gas)
CA,California,Sacramento County,212,0,0,3,Sacramento,Mining (except Oil and Gas)
CA,California,San Benito County,212,32,938,4,San Francisco,Mining (except Oil and Gas)
CA,California,San Bernardino County,212,1001,1526,22,West Covina,Mining (except Oil and Gas)
CA,California,San Diego County,212,0,0,17,San Diego,Mining (except Oil and Gas)
CA,California,San Francisco County,212,0,0,1,San Francisco,Mining (except Oil and Gas)
CA,California,San Joaquin County,212,127,1470,9,Sacramento,Mining (except Oil and Gas)
CA,California,San Luis Obispo County,212,51,947,5,Los Angeles,Mining (except Oil and Gas)
CA,California,San Mateo County,212,35,925,5,San Francisco,Mining (except Oil and Gas)
