CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Aurora County,50,46,3,7,0,2743,1412,1331,1345,1285,8,8,29,27,14,3,0,0,16,8,1361,1293,15,10,38,30,15,5,0,1,1331,1286,1268,1245,7,7,26,24,14,3,0,0,16,7,1284,1252,14,9,35,26,15,5,0,1,81,45,77,40,1,1,3,3,0,0,0,0,0,1,77,41,1,1,3,4,0,0,0,0
Austin County,50,48,15,7,0,28994,14372,14622,12583,12796,1364,1418,119,119,72,90,2,2,232,197,12803,12979,1483,1522,208,196,107,117,11,7,10545,10949,9008,9367,1268,1314,45,49,57,78,2,1,165,140,9163,9495,1356,1388,106,103,85,99,6,6,3827,3673,3575,3429,96,104,74,70,15,12,0,1,67,57,3640,3484,127,134,102,93,22,18,5,1
Autauga County,50,1,1,7,0,55290,26916,28374,21114,21920,4885,5432,119,151,246,382,36,19,516,470,21601,22337,5126,5686,292,312,392,500,56,43,26138,27649,20472,21303,4826,5390,104,134,243,376,23,13,470,433,20922,21692,5047,5621,252,276,376,486,36,32,778,725,642,617,59,42,15,17,3,6,13,6,46,37,679,645,79,65,40,36,16,14,20,11
Avery County,50,37,11,7,0,17726,9662,8064,8808,7814,678,98,62,32,41,39,4,4,69,77,8869,7882,709,131,97,72,53,53,6,6,9130,7758,8320,7526,669,94,36,28,38,34,2,3,65,73,8377,7590,698,125,70,66,49,48,4,5,532,306,488,288,9,4,26,4,3,5,2,1,4,4,492,292,11,6,27,6,4,5,2,1
Avoyelles Parish,50,22,9,7,0,41145,20667,20478,13434,14037,6454,5697,294,234,155,109,0,4,330,397,13680,14312,6679,5984,435,412,202,162,15,18,20315,20095,13191,13781,6397,5627,262,211,155,106,0,2,310,368,13423,14031,6610,5901,390,379,199,152,15,13,352,383,243,256,57,70,32,23,0,3,0,2,20,29,257,281,69,83,45,33,3,10,0,5
Baca County,50,8,9,7,0,3635,1819,1816,1721,1713,18,22,39,35,1,12,0,0,40,34,1761,1744,33,34,57,50,10,20,3,2,1615,1647,1547,1574,13,19,25,19,1,11,0,0,29,24,1576,1595,24,28,37,28,8,18,2,2,204,169,174,139,5,3,14,16,0,1,0,0,11,10,185,149,9,6,20,22,2,2,1,0
Bacon County,50,13,5,7,0,11248,5519,5729,4485,4625,906,956,22,19,24,36,11,6,71,87,4555,4705,955,1022,36,38,32,43,12,9,5016,5336,4044,4287,879,931,6,3,17,28,10,4,60,83,4103,4363,921,996,16,19,25,35,11,7,503,393,441,338,27,25,16,16,7,8,1,2,11,4,452,342,34,26,20,19,7,8,1,2
Bailey County,50,48,17,7,0,6960,3504,3456,3282,3246,71,46,95,97,28,21,4,8,24,38,3303,3283,85,66,105,109,30,27,5,9,1317,1358,1236,1279,44,28,7,12,17,13,1,0,12,26,1246,1304,52,40,10,21,19,18,2,1,2187,2098,2046,1967,27,18,88,85,11,8,3,8,12,12,2057,1979,33,26,95,88,11,9,3,8
Baker County,150,66,11,21,0,46491,23831,22660,20086,19639,3011,2229,157,166,145,182,9,9,423,435,20494,20034,3172,2395,374,376,214,259,21,37,23058,22005,19421,19097,2961,2185,144,138,133,179,8,9,391,397,19797,19459,3107,2336,343,333,199,245,19,35,773,655,665,542,50,44,13,28,12,3,1,0,32,38,697,575,65,59,31,43,15,14,2,2
Baldwin County,100,14,12,14,0,245535,120506,125029,97698,101416,18915,19367,817,807,1178,1388,76,77,1822,1974,99416,103227,19679,20231,1639,1692,1568,1842,168,184,115227,120346,93020,97269,18675,19115,687,719,1163,1371,55,67,1627,1805,94567,98943,19350,19897,1401,1517,1520,1777,127,150,5279,4683,4678,4147,240,252,130,88,15,17,21,10,195,169,4849,4284,329,334,238,175,48,65,41,34
