CTYNAME,SUMLEV,STATE,COUNTY,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Lamar County,200,90,596,4,0,138332,66912,71420,53330,55727,11500,13493,516,493,505,571,17,20,1044,1116,54289,56727,11970,14037,1080,1085,621,692,54,62,64331,69052,51098,53689,11379,13362,372,387,497,558,13,14,972,1042,51988,54625,11823,13875,890,937,608,668,41,44,2581,2368,2232,2038,121,131,144,106,8,13,4,6,72,74,2301,2102,147,162,190,148,13,24,13,18
Lamb County,50,48,279,1,0,13977,6964,7013,6432,6442,321,341,120,123,12,21,0,4,79,82,6505,6522,346,368,168,173,24,29,1,8,3275,3471,2936,3114,281,278,18,22,4,13,0,4,36,40,2972,3154,300,298,32,44,7,14,1,5,3689,3542,3496,3328,40,63,102,101,8,8,0,0,43,42,3533,3368,46,70,136,129,17,15,0,3
Lamoille County,50,50,15,1,0,24475,12244,12231,11880,11874,92,58,56,43,60,71,2,3,154,182,12031,12053,121,115,154,154,86,100,10,9,12079,12074,11737,11725,86,56,49,39,59,71,1,2,147,181,11881,11903,113,113,142,149,85,100,8,8,165,157,143,149,6,2,7,4,1,0,1,1,7,1,150,150,8,2,12,5,1,0,2,1
Lampasas County,50,48,281,1,0,19677,9705,9972,8924,9107,338,331,99,108,74,151,25,16,245,259,9153,9346,418,398,200,234,152,240,42,33,7946,8288,7304,7569,300,287,59,68,54,134,23,12,206,218,7495,7772,369,339,144,170,119,212,40,26,1759,1684,1620,1538,38,44,40,40,20,17,2,4,39,41,1658,1574,49,59,56,64,33,28,2,7
Lancaster County,200,169,340,4,0,892895,439998,452897,391088,405148,28136,26188,2400,2341,10086,10789,295,303,7993,8128,398569,412752,33029,31137,4596,4579,11836,12601,581,575,406737,421041,364352,379641,24657,22761,1301,1285,9811,10531,128,143,6488,6680,370452,385925,28527,26703,2959,3008,11372,12167,330,329,33261,31856,26736,25507,3479,3427,1099,1056,275,258,167,160,1505,1448,28117,26827,4502,4434,1637,1571,464,434,251,246
Lander County,50,32,15,1,0,5775,2928,2847,2725,2621,15,19,132,143,8,15,1,0,47,49,2768,2664,32,34,168,183,11,21,4,3,2297,2259,2163,2098,5,12,93,104,8,14,1,0,27,31,2189,2127,9,16,117,129,9,19,2,1,631,588,562,523,10,7,39,39,0,1,0,0,20,18,579,537,23,18,51,54,2,2,2,2
Lane County,100,61,140,2,0,353465,173900,179565,158516,163727,2144,1464,2414,2281,3723,4798,454,381,6649,6914,164887,170378,3560,2955,5921,6010,5798,6879,964,878,160483,166741,147235,152808,1883,1252,1720,1728,3595,4678,408,335,5642,5940,152652,158528,3076,2518,4526,4768,5474,6573,846,783,13417,12824,11281,10919,261,212,694,553,128,120,46,46,1007,974,12235,11850,484,437,1395,1242,324,306,118,95
Langlade County,50,55,67,1,0,19977,10032,9945,9697,9661,52,20,122,113,27,36,0,1,134,114,9831,9774,91,55,204,179,38,52,7,2,9849,9804,9561,9555,51,19,84,88,27,36,0,0,126,106,9687,9660,87,49,164,149,38,52,4,1,183,141,136,106,1,1,38,25,0,0,0,1,8,8,144,114,4,6,40,30,0,0,3,1
Lanier County,50,13,173,1,0,10078,5084,4994,3684,3593,1215,1190,40,26,42,65,2,1,101,119,3773,3695,1264,1253,83,79,67,94,3,5,4835,4782,3477,3427,1198,1170,26,12,38,63,2,1,94,109,3560,3519,1246,1230,62,55,63,92,3,5,249,212,207,166,17,20,14,14,4,2,0,0,7,10,213,176,18,23,21,24,4,2,0,0
Lapeer County,50,26,87,1,0,88319,44535,43784,42871,42699,809,145,209,220,122,204,9,3,515,513,43376,43205,982,290,484,497,212,314,15,11,42722,41975,41172,41008,771,126,174,176,117,200,7,2,481,463,41644,41468,932,249,431,420,201,308,13,10,1813,1809,1699,1691,38,19,35,44,5,4,2,1,34,50,1732,1737,50,41,53,77,11,6,2,1
